date_time,value
2022-02-15 00:00:00,0.045754216
2022-02-15 01:00:00,0.754887863
2022-02-15 02:00:00,0.286327497
2022-02-15 03:00:00,0.897122269
2022-02-15 04:00:00,0.043355948
2022-02-15 05:00:00,0.735512491
2022-02-15 06:00:00,0.94991236
2022-02-15 07:00:00,0.628063972
2022-02-15 08:00:00,0.453787354
2022-02-15 09:00:00,0.438134901
2022-02-15 10:00:00,0.954497716
2022-02-15 11:00:00,0.051836448
2022-02-15 12:00:00,0.377637665
2022-02-15 13:00:00,0.112314662
2022-02-15 14:00:00,0.668754179
2022-02-15 15:00:00,0.663359341
2022-02-15 16:00:00,0.947543766
2022-02-15 17:00:00,0.159368057
2022-02-15 18:00:00,0.730878748
2022-02-15 19:00:00,0.703090904
2022-02-15 20:00:00,0.842746697
2022-02-15 21:00:00,0.95792914
2022-02-15 22:00:00,0.33438633
2022-02-15 23:00:00,0.577098466
2022-02-18 00:00:00,0.429158566
2022-02-18 01:00:00,0.68682137
2022-02-18 02:00:00,0.985142807
2022-02-18 03:00:00,0.821196477
2022-02-18 04:00:00,0.788932967
2022-02-18 05:00:00,0.087706109
2022-02-18 06:00:00,0.342238584
2022-02-18 07:00:00,0.548384735
2022-02-18 08:00:00,0.943397534
2022-02-18 09:00:00,0.408851401
2022-02-18 10:00:00,0.620973031
2022-02-18 11:00:00,0.608781387
2022-02-18 12:00:00,0.116511428
2022-02-18 13:00:00,0.380654752
2022-02-18 14:00:00,0.056076341
2022-02-18 15:00:00,0.995760362
2022-02-18 16:00:00,0.73582584
2022-02-18 17:00:00,0.884321349
2022-02-18 18:00:00,0.339708199
2022-02-18 19:00:00,0.000580226
2022-02-18 20:00:00,0.010297347
2022-02-18 21:00:00,0.424310348
2022-02-18 22:00:00,0.178237691
2022-02-18 23:00:00,0.168712832
2022-02-16 00:00:00,0.988177967
2022-02-16 01:00:00,0.554240256
2022-02-16 02:00:00,0.58359432
2022-02-16 03:00:00,0.677184506
2022-02-16 04:00:00,0.784599932
2022-02-16 05:00:00,0.399833602
2022-02-16 06:00:00,0.902129306
2022-02-16 07:00:00,0.940280383
2022-02-16 08:00:00,0.878619709
2022-02-16 09:00:00,0.905113123
2022-02-16 10:00:00,0.295737035
2022-02-16 11:00:00,0.914979009
2022-02-16 12:00:00,0.642217859
2022-02-16 13:00:00,0.811037548
2022-02-16 14:00:00,0.934638098
2022-02-16 15:00:00,0.976883963
2022-02-16 16:00:00,0.57202225
2022-02-16 17:00:00,0.705763542
2022-02-16 18:00:00,0.063984746
2022-02-16 19:00:00,0.223076695
2022-02-16 20:00:00,0.715480797
2022-02-16 21:00:00,0.229621189
2022-02-16 22:00:00,0.081550266
2022-02-16 23:00:00,0.859487874
2022-02-17 00:00:00,0.556250511
2022-02-17 01:00:00,0.047883177
2022-02-17 02:00:00,0.324283813
2022-02-17 03:00:00,0.500611008
2022-02-17 04:00:00,0.284763943
2022-02-17 05:00:00,0.892937179
2022-02-17 06:00:00,0.03100856
2022-02-17 07:00:00,0.087150925
2022-02-17 08:00:00,0.780579583
2022-02-17 09:00:00,0.217634312
2022-02-17 10:00:00,0.070079293
2022-02-17 11:00:00,0.618665635
2022-02-17 12:00:00,0.191358764
2022-02-17 13:00:00,0.880328234
2022-02-17 14:00:00,0.155029374
2022-02-17 15:00:00,0.608545056
2022-02-17 16:00:00,0.826069333
2022-02-17 17:00:00,0.972390084
2022-02-17 18:00:00,0.135019902
2022-02-17 19:00:00,0.645804427
2022-02-17 20:00:00,0.597885287
2022-02-17 21:00:00,0.077476872
2022-02-17 22:00:00,0.310894637
2022-02-17 23:00:00,0.599254682
