date_time,value
2/18/22 0:00,0.429158566
2/18/22 1:00,0.68682137
2/18/22 2:00,0.985142807
2/18/22 3:00,0.821196477
2/18/22 4:00,0.788932967
2/18/22 5:00,0.087706109
2/18/22 6:00,0.342238584
2/18/22 7:00,0.548384735
2/18/22 8:00,0.943397534
2/18/22 9:00,0.408851401
2/18/22 10:00,0.620973031
2/18/22 11:00,0.608781387
2/18/22 12:00,0.116511428
2/18/22 13:00,0.380654752
2/18/22 14:00,0.056076341
2/18/22 15:00,0.995760362
2/18/22 16:00,0.73582584
2/18/22 17:00,0.884321349
2/18/22 18:00,0.339708199
2/18/22 19:00,0.000580226
2/18/22 20:00,0.010297347
2/18/22 21:00,0.424310348
2/18/22 22:00,0.178237691
2/18/22 23:00,0.168712832
